5351,13
5352,11
5353,33
5354,13
5355,3
5356,2
5357,23
5358,2
5359,6
5360,7
5361,13
5362,6
5363,15
5364,12
5365,3
5366,25
5367,2
5368,25
5369,23
5370,8
5371,23
5372,15
5373,13
5374,32
5375,13
5376,15
5377,33
5378,13
5379,3
5380,23
5381,11
5382,34
5383,3
5384,5
5385,33
5386,34
5387,15
5388,12
5389,23
5390,11
5391,5
5392,8
5393,13
5394,33
5395,6
5396,32
5397,4
5398,12
5399,33
5400,23
5401,16
5402,12
5403,12
5404,32
5405,6
5406,11
5407,33
5408,11
5409,23
5410,13
5411,14
5412,16
5413,13
5414,8
5415,25
5416,23
5417,13
5418,2
5419,33
5420,8
5421,12
5422,6
5423,5
5424,15
5425,23
5426,32
5427,22
5428,5
5429,12
5430,16
5431,4
5432,4
5433,11
5434,23
5435,15
5436,6
5437,16
5438,7
5439,3
5440,8
5441,32
5442,4
5443,16
5444,6
5445,8
5446,13
5447,14
5448,22
5449,13
5450,13
5451,3
5452,15
5453,22
5454,13
5455,32
5456,12
5457,5
5458,15
5459,32
5460,15
5461,32
5462,5
5463,32
5464,13
5465,34
5466,3
5467,15
5468,33
5469,23
5470,4
5471,14
5472,3
5473,6
5474,4
5475,3
5476,32
5477,5
5478,13
5479,8
5480,2
5481,2
5482,23
5483,32
5484,6
5485,25
5486,22
5487,5
5488,11
5489,12
5490,7
5491,23
5492,3
5493,23
5494,32
5495,14
5496,2
5497,16
5498,22
5499,6
5500,14
5501,32
5502,11
5503,33
5504,3
5505,12
5506,15
5507,32
5508,11
5509,12
5510,5
5511,2
5512,16
5513,11
5514,5
5515,13
5516,25
5517,14
5518,23
5519,23
5520,5
5521,2
5522,14
5523,8
5524,15
5525,11
5526,13
5527,11
5528,4
5529,34
5530,16
5531,33
5532,34
5533,7
5534,11
5535,16
5536,8
5537,7
5538,3
5539,8
5540,22
5541,8
5542,15
5543,34
5544,12
5545,12
5546,12
5547,3
5548,2
5549,12
5550,14
5551,23
5552,7
5553,8
5554,3
5555,11
5556,14
5557,22
5558,23
5559,8
5560,33
5561,34
5562,4
5563,4
5564,8
5565,11
5566,32
5567,7
5568,3
5569,23
5570,14
5571,23
5572,22
5573,3
5574,6
5575,32
5576,14
5577,23
5578,32
5579,3
5580,25
5581,6
5582,16
5583,13
5584,13
5585,6
5586,22
5587,11
5588,3
5589,23
5590,25
5591,32
5592,8
5593,15
5594,13
5595,23
5596,12
5597,4
5598,15
5599,14
5600,16
5601,15
5602,11
5603,23
5604,8
5605,13
5606,14
5607,6
5608,6
5609,23
5610,22
5611,3
5612,7
5613,7
5614,15
5615,25
5616,7
5617,5
5618,16
5619,32
5620,13
5621,3
5622,8
5623,34
5624,14
5625,33
5626,34
5627,12
5628,7
5629,32
5630,25
5631,14
5632,33
5633,7
5634,25
5635,16
5636,6
5637,23
5638,16
5639,5
5640,23
5641,22
5642,4
5643,8
5644,13
5645,8
5646,23
5647,4
5648,4
5649,23
5650,13
5651,25
5652,23
5653,5
5654,2
5655,6
5656,15
5657,3
5658,3
5659,12
5660,16
5661,12
5662,12
5663,12
5664,2
5665,16
5666,25
5667,4
5668,2
5669,6
5670,23
5671,6
5672,23
5673,13
5674,34
5675,23
5676,12
5677,8
5678,3
5679,22
5680,2
5681,12
5682,7
5683,23
5684,12
5685,33
5686,14
5687,33
5688,14
5689,15
5690,4
5691,15
5692,6
5693,23
5694,15
5695,15
5696,32
5697,13
5698,15
5699,8
5700,7
5701,34
5702,22
5703,23
5704,13
5705,34
5706,25
5707,22
5708,4
5709,23
5710,33
5711,5
5712,14
5713,7
5714,2
5715,7
5716,34
5717,5
5718,33
5719,4
5720,8
5721,13
5722,34
5723,33
5724,23
5725,8
5726,4
5727,4
5728,32
5729,12
5730,16
5731,22
5732,33
5733,3
5734,33
5735,34
5736,15
5737,16
5738,33
5739,33
5740,23
5741,11
5742,16
5743,23
5744,12
5745,8
5746,16
5747,5
5748,16
5749,23
5750,13
5751,34
5752,22
5753,3
5754,22
5755,25
5756,7
5757,15
5758,6
5759,25
5760,15
5761,12
5762,25
5763,2
5764,23
5765,4
5766,5
5767,11
5768,7
5769,25
5770,14
5771,23
5772,23
5773,2
5774,22
5775,15
5776,4
5777,8
5778,23
5779,11
5780,4
5781,5
5782,23
5783,3
5784,11
5785,3
5786,13
5787,4
5788,3
5789,2
5790,5
5791,32
5792,15
5793,5
5794,7
5795,33
5796,22
5797,6
5798,7
5799,6
5800,6
5801,33
5802,34
5803,3
5804,16
5805,14
5806,13
5807,22
5808,16
5809,32
5810,13
5811,6
5812,12
5813,12
5814,13
5815,3
5816,7
5817,2
5818,12
5819,32
5820,32
5821,8
5822,4
5823,32
5824,32
5825,23
5826,15
5827,12
5828,34
5829,7
5830,16
5831,23
5832,15
5833,22
5834,25
5835,23
5836,23
5837,6
5838,14
5839,14
5840,11
5841,13
5842,2
5843,4
5844,32
5845,25
5846,8
5847,5
5848,12
5849,25
5850,11
5851,7
5852,23
5853,23
5854,34
5855,14
5856,25
5857,6
5858,13
